RID,,,,N,38,,,,,,,
PTID,,,,T,,,,,,,,
VISCODE,,,,T,20,,,,,X,,
SITE,provenance,source,,I,,,,,,X,,
COLPROT,provenance,protocol,,Enum,,,ADNI1|ADNI2|ADNIGO,,,X,,
ORIGPROT,provenance,protocol,,Enum,,,ADNI1|ADNI2|ADNIGO,,,X,,
EXAMDATE,provenance,date,,D,10,,yyyy-mm-dd,,,,,
DX_bl,clinical,diagnostic,,Enum,,,AD|CN,,,X,,
AGE,demographic,age,,I,3,,0..130,,X,,X,X
PTGENDER,demographic,genre,,B,1,,1=Male,,,X,,
PTEDUCAT,demographic,education,,I,2,,0..20,,X,,X,X
PTETHCAT,demographic,ethny,,Enum,,,1=Hispanic or Latino,,,X,,
PTRACCAT,demographic,country,,Enum,,,1=American Indian or Alaskan Native,,,X,,
PTMARRY,demographic,marital status,,Enum,,,1=Married,,,X,,
APOE4,polymorphism,APOE,,I,1,,0..2,,,X,,
FDG,brain_metabolism,PET,,N,,,,,X,,X,X
PIB,brain_metabolism,PET,,N,,,,,X,,X,X
AV45,clinical,cognition,,N,,,,,X,,X,X
CDRSB,clinical,cognition,,N,,,,,X,,X,X
ADAS11,clinical,cognition,,N,,,,,X,,X,X
ADAS13,clinical,cognition,,N,,,,,X,,X,X
MMSE,clinical,cognition,,N,,,,,X,,X,X
RAVLT,clinical,cognition,,N,,,,,X,,X,X
RAVLT_immediate,clinical,cognition,,N,,,,,X,,X,X
FAQ,clinical,cognition,,N,,,,,X,,X,X
MOCA,clinical,cognition,,N,,,,,X,,X,X
EcogPtMem,clinical,cognition,,N,,,,,X,,X,X
EcogPtLang,clinical,cognition,,N,,,,,X,,X,X
EcogPtVisspat,clinical,cognition,,N,,,,,X,,X,X
EcogPtPlan,clinical,cognition,,N,,,,,X,,X,X
EcogPtOrgan,clinical,cognition,,N,,,,,X,,X,X
EcogPtDivatt,clinical,cognition,,N,,,,,X,,X,X
EcogPtTotal,clinical,cognition,,N,,,,,X,,X,X
EcogSPMem,clinical,cognition,,N,,,,,X,,X,X
EcogSPLang,clinical,cognition,,N,,,,,X,,X,X
EcogSPVisspat,clinical,cognition,,N,,,,,X,,X,X
EcogSPPlan,clinical,cognition,,N,,,,,X,,X,X
EcogSPOrgan,clinical,cognition,,N,,,,,X,,X,X
EcogSPDivatt,clinical,cognition,,N,,,,,X,,X,X
EcogSPTotal,clinical,cognition,,N,,,,,X,,X,X
Ventricles,brain_anatomy,CSF,,N,,,,,X,,X,X
Hippocampus,brain_anatomy,grey_matter,,N,,,,,X,,X,X
WholeBrain,brain_anatomy,grey_matter,,N,,,,,X,,X,X
